Country,Brand,Model,Storage Variant,Color1,Color2,Color3,Color4,Color5,Color6,Color7,Color8,Color9,Color10,Color11
DE,Samsung,S21 Ultra,128 GB,Phantom Black,Phantom Brown,Phantom Navy,Phantom Silver,Phantom Titanium,,,,,,
DE,Samsung,S21 Ultra,256 GB,Phantom Black,Phantom Brown,Phantom Navy,Phantom Silver,Phantom Titanium,,,,,,
DE,Samsung,S21 Ultra,512 GB,Phantom Black,Phantom Brown,Phantom Navy,Phantom Silver,Phantom Titanium,,,,,,
DE,Samsung,S21+,128 GB,Phantom Black,Phantom Gold,Phantom Red,Phantom Silver,Phantom Violet,,,,,,
DE,Samsung,S21+,256 GB,Phantom Black,Phantom Gold,Phantom Red,Phantom Silver,Phantom Violet,,,,,,
DE,Samsung,S22,128 GB,Bora Purple,Cream,Graphite,Green,Phantom Black,Phantom White,Pink Gold,Sky Blue,Violet,,
DE,Samsung,S22,256 GB,Bora Purple,Cream,Graphite,Green,Phantom Black,Phantom White,Pink Gold,Sky Blue,Violet,,
DE,Samsung,S22 Ultra,1 TB,Burgundy,Graphite,Green,Phantom Black,Phantom White,Red,Sky Blue,,,,
DE,Samsung,S22 Ultra,128 GB,Burgundy,Graphite,Green,Phantom Black,Phantom White,Red,Sky Blue,,,,
DE,Samsung,S22 Ultra,256 GB,Burgundy,Graphite,Green,Phantom Black,Phantom White,Red,Sky Blue,,,,
DE,Samsung,S22 Ultra,512 GB,Burgundy,Graphite,Green,Phantom Black,Phantom White,Red,Sky Blue,,,,
DE,Samsung,S22+,128 GB,Cream,Graphite,Green,Phantom Black,Pink Gold,Sky Blue,Violet,,,,
DE,Samsung,S22+,256 GB,Cream,Graphite,Green,Phantom Black,Pink Gold,Sky Blue,Violet,,,,
DE,Samsung,S23,128 GB,Cream,Green,Lavender,Phantom Black,,,,,,,
DE,Samsung,S23,256 GB,Cream,Green,Lavender,Phantom Black,,,,,,,
DE,Samsung,S23 FE,128 GB,Cream,Graphite,Mint,Purple,,,,,,,
DE,Samsung,S23 FE,256 GB,Cream,Graphite,Mint,Purple,,,,,,,
DE,Samsung,S23 Ultra,256 GB,Cream,Green,Lavender,Phantom Black,,,,,,,
DE,Samsung,S23 Ultra,512 GB,Cream,Green,Lavender,Phantom Black,,,,,,,
DE,Samsung,S23+,256 GB,Cream,Green,Lavender,Phantom Black,,,,,,,
DE,Samsung,S23+,512 GB,Cream,Green,Lavender,Phantom Black,,,,,,,
DE,Samsung,Z Flip3,128 GB,Cream,Green,Grey,Lavender,Phantom Black,White,,,,,
DE,Samsung,Z Flip3,256 GB,Cream,Green,Grey,Lavender,Phantom Black,Pink,White,,,,
DE,Samsung,Z Flip4,128 GB,Blue,Bora Purple,Graphite,Pink Gold,,,,,,,
DE,Samsung,Z Flip4,256 GB,Blue,Bora Purple,Graphite,Pink Gold,,,,,,,
DE,Samsung,Z Flip4,512 GB,Blue,Bora Purple,Graphite,Pink Gold,,,,,,,
DE,Samsung,Z Flip5,256 GB,Cream,Graphite,Lavender,Mint,,,,,,,
DE,Samsung,Z Flip5,512 GB,Cream,Graphite,Lavender,Mint,,,,,,,
DE,Samsung,Z Fold3,256 GB,Phantom Black,Phantom Green,Phantom Silver,,,,,,,,
DE,Samsung,Z Fold3,512 GB,Phantom Black,Phantom Green,Phantom Silver,,,,,,,,
DE,Samsung,Z Fold4,1 TB,Beige,Burgundy,Grey Green,Phantom Black,,,,,,,
DE,Samsung,Z Fold4,256 GB,Beige,Burgundy,Grey Green,Phantom Black,,,,,,,
DE,Samsung,Z Fold4,512 GB,Beige,Burgundy,Grey Green,Phantom Black,,,,,,,
DE,Samsung,Z Fold5,1 TB,Blue,Cream,Phantom Black,,,,,,,,
DE,Samsung,Z Fold5,256 GB,Blue,Cream,Phantom Black,,,,,,,,
DE,Samsung,Z Fold5,512 GB,Blue,Cream,Phantom Black,,,,,,,,
